System,Return,MDD,Sharpe,Calmar
System 0-A: Pure Rules (S4 Equivalent),-66.71%,-79.77%,-0.6653,-0.2899
System 0-B: Pure Rules (S5 Equivalent),-43.33%,-62.30%,-0.5955,-0.2038
System 1: Pure ML Baseline,-0.54%,-32.04%,-0.1593,-0.0040
System 2: ML + ATR Stop,-23.60%,-32.22%,-0.5010,-0.1934
System 3: ML + ATR + BBL,-12.90%,-43.06%,-0.3205,-0.0754
System 4: ML + ATR + BBL + TOCE,-3.89%,-29.67%,-0.1960,-0.0318
System 5: Full ARMS Framework,3.55%,-16.68%,-0.1129,0.0502
Benchmark: Buy & Hold,44.33%,-23.35%,N/A,0.3928
Benchmark: MA Crossover,92.09%,-45.60%,0.2294,0.3704
Benchmark: MA + ATR Crossover,99.35%,-45.64%,0.2454,0.3930
Benchmark: Momentum,10.19%,-50.62%,0.0122,0.0464
